year,all_fields,all_fields_male,all_fields_female,life_sciences,life_sciences_male,life_sciences_female,physical_sciences_and_earth_sciences,physical_sciences_and_earth_sciences_male,physical_sciences_and_earth_sciences_female,mathematics_and_computer_sciences,mathematics_and_computer_sciences_male,mathematics_and_computer_sciences_female,psychology_and_social_sciences,psychology_and_social_sciences_male,psychology_and_social_sciences_female,engineering,engineering_male,engineering_female,education,education_male,education_female,humanities_and_arts,humanities_and_arts_male,humanities_and_arts_female,other,other_male,other_female
1985,"31,295","20,552","10,743","5,822","3,946","1,876","3,491","2,922",569,998,859,139,"6,027","3,517","2,510","3,166","2,968",198,"6,733","3,242","3,491","3,406","2,014","1,392","1,652","1,084",568
1990,"36,064","22,960","13,104","6,655","4,163","2,492","4,212","3,421",791,"1,597","1,329",268,"6,331","3,378","2,953","4,894","4,479",415,"6,509","2,758","3,751","3,854","2,188","1,666","2,012","1,244",768
1995,"41,576","25,160","16,416","7,956","4,598","3,358","4,519","3,499","1,020","2,178","1,727",451,"6,906","3,380","3,526","5,966","5,270",696,"6,638","2,546","4,092","5,034","2,695","2,339","2,379","1,445",934
2000,"41,296","23,165","18,131","8,611","4,568","4,043","4,063","3,041","1,022","1,907","1,507",400,"7,443","3,370","4,073","5,297","4,459",838,"6,439","2,260","4,179","5,458","2,786","2,672","2,078","1,174",904
2005,"43,319","23,737","19,582","9,296","4,561","4,735","4,357","3,141","1,216","2,329","1,782",547,"7,144","3,159","3,985","6,408","5,226","1,182","6,217","2,065","4,152","5,181","2,600","2,581","2,387","1,203","1,184"
2010,"48,015","25,526","22,489","11,314","5,101","6,213","4,994","3,379","1,615","3,223","2,409",814,"7,882","3,358","4,524","7,575","5,829","1,746","5,286","1,662","3,624","5,015","2,462","2,553","2,726","1,326","1,400"
2015,"54,999","29,596","25,403","12,519","5,578","6,941","5,923","3,935","1,988","3,823","2,880",943,"9,094","3,762","5,332","9,897","7,596","2,301","5,116","1,614","3,502","5,599","2,767","2,832","3,028","1,464","1,564"
